name,salary_from,salary_to,salary_currency,area_name,published_at
Системный администратор,55000.0,57000.0,RUR,Улан-Удэ,2022-12-16T03:13:07+0300
Корректор,26900.0,,RUR,Хабаровск,2022-12-16T01:22:20+0300
Контент-менеджер,30000.0,45000.0,RUR,Москва,2022-12-16T00:18:39+0300
Начальник автотранспортной службы,90000.0,111200.0,RUR,Хабаровск,2022-12-16T01:27:35+0300
Начальник автоколонны,120000.0,120000.0,RUR,Казань,2022-12-16T03:48:39+0300
Разработчик PL/SQL (Управленческая отчетность ФД КИБ),,,,Москва,2022-12-16T01:30:10+0300
Редактор машинного перевода (постредактор; маркетинг; русский-английский),,,,Москва,2022-12-16T01:51:42+0300
Системный администратор,70000.0,80000.0,RUR,Находка,2022-12-16T03:10:27+0300
Начальник автоколонны,120000.0,120000.0,RUR,Челябинск,2022-12-16T03:48:39+0300
Разработчик PL/SQL (Управленческая отчетность ФД КИБ),,,,Санкт-Петербург,2022-12-16T01:31:30+0300
Ведущий программист,40000.0,,RUR,Иркутск,2022-12-16T03:34:39+0300
Программист,60000.0,,RUR,Хабаровск,2022-12-16T01:28:27+0300
Механик Автоколонны РЭС и Управления,53000.0,,RUR,Хабаровск,2022-12-16T02:41:00+0300
Ведущий инженер ИТ-отдела,56000.0,,RUR,Хабаровск,2022-12-16T03:41:31+0300
Механик,50000.0,,RUR,Владивосток,2022-12-16T03:26:27+0300
Техник по пивному оборудованию,43300.0,43300.0,RUR,Советская Гавань,2022-12-16T03:49:26+0300
Web-программист,45000.0,65000.0,RUR,Иркутск,2022-12-16T03:26:43+0300
Бизнес-аналитик Supply Chain&Law,,,,Санкт-Петербург,2022-12-16T02:00:05+0300
Менеджер онлайн-торговли,60000.0,80000.0,RUR,Москва,2022-12-16T01:03:36+0300
Системный администратор / Специалист по автоматизированным системам управления производством,60000.0,,RUR,Хабаровск,2022-12-16T01:22:38+0300
Разработчик PL/SQL (Управленческая отчетность ФД КИБ),,,,Нижний Новгород,2022-12-16T01:31:03+0300
1с программист,,100000.0,RUR,Хабаровск,2022-12-16T01:27:40+0300
Backend-программист PHP,120000.0,170000.0,RUR,Владивосток,2022-12-16T03:02:20+0300
"Auto QA engineer (Автоматизатор тестирования на Python, senior)",,,,Москва,2022-12-16T00:50:59+0300
Менеджер тестовых сред (Управленческая отчетность ФД КИБ),,,,Москва,2022-12-16T01:22:48+0300
Менеджер тестовых сред (Управленческая отчетность ФД КИБ),,,,Санкт-Петербург,2022-12-16T01:23:22+0300
Третий механик,160000.0,160000.0,RUR,Владивосток,2022-12-16T03:59:59+0300
Редактор онлайн-журнала (стажёр),,,,Санкт-Петербург,2022-12-16T05:56:59+0300
Механик по транспорту,40000.0,50000.0,RUR,Челябинск,2022-12-16T06:25:30+0300
Сборщик радиоэлектронной аппаратуры,45000.0,,RUR,Новосибирск,2022-12-16T06:43:10+0300
Веб-разработчик/Web-программист/Front End developer,100000.0,250000.0,KZT,Астана,2022-12-16T06:50:44+0300
Менеджер проектов по крипто тематике,20000.0,50000.0,RUR,Москва,2022-12-16T05:31:11+0300
Оператор станка с ЧПУ,60000.0,80000.0,RUR,Новосибирск,2022-12-16T06:09:48+0300
Главный специалист развития инфраструктуры в нефтедобывающую компанию,200000.0,,RUR,Санкт-Петербург,2022-12-16T06:29:05+0300
Аналитик (Junior),45000.0,55000.0,RUR,Владивосток,2022-12-16T06:51:07+0300
IT-аналитик,80000.0,,RUR,Томск,2022-12-16T05:49:48+0300
Инженер 2 категории отдела сопровождения информационных систем,42000.0,60000.0,RUR,Якутск,2022-12-16T04:35:19+0300
Начальник отдела информационных технологий,85000.0,,RUR,Ангарск,2022-12-16T06:55:08+0300
Системный администратор,86000.0,,RUR,Артем,2022-12-16T06:14:06+0300
Заместитель технического директора по ТОиР,,,,Екатеринбург,2022-12-16T06:13:42+0300
Backend Developer (Node.js),,,,Томск,2022-12-16T05:49:42+0300
Механик,32000.0,,RUR,Кемерово,2022-12-16T06:01:53+0300
Ведущий специалист сопровождения 1С,,,,Новосибирск,2022-12-16T06:34:25+0300
Специалист по технической защите информации 2 категории отдела защиты государственной тайны,50000.0,,RUR,Якутск,2022-12-16T05:06:41+0300
Инженер электросвязи,39000.0,,RUR,Якутск,2022-12-16T06:10:47+0300
Frontend-разработчик,,,,Новокузнецк,2022-12-16T04:42:57+0300
Техник по обслуживанию зданий,,55000.0,RUR,Владивосток,2022-12-16T04:28:46+0300
Механик по транспорту,80000.0,,RUR,Красноярск,2022-12-16T05:27:39+0300
Механик по сервисному обслуживанию карьерной и строительной техники,,200000.0,RUR,Магадан,2022-12-16T04:35:55+0300
Программист 1C,45000.0,55000.0,RUR,Красноярск,2022-12-16T04:31:00+0300
Менеджер по продажам/рефмеханик,65000.0,,RUR,Владивосток,2022-12-16T04:13:23+0300
Редактор-копирайтер,,,,Улан-Удэ,2022-12-16T06:42:07+0300
Токарь-расточник,,,,Саратов,2022-12-16T06:38:32+0300
Ведущий инженер ТСО,50000.0,,RUR,Новосибирск,2022-12-16T05:13:04+0300
Сервисный инженер / инженер-монтажник,50000.0,100000.0,RUR,Кемерово,2022-12-16T05:47:17+0300
Оператор лазерной резки и гибки металла,50000.0,,RUR,Барнаул,2022-12-16T05:36:02+0300
Техник связи,50000.0,,RUR,Красноярск,2022-12-16T05:30:36+0300
Механик по ремонту ГПМ,60000.0,65000.0,RUR,Екатеринбург,2022-12-16T06:49:47+0300
Специалист по обслуживанию и ремонту авиационных поршневых двигателей,80000.0,100000.0,RUR,Новосибирск,2022-12-16T06:06:41+0300
Механик,,,,Свободный,2022-12-16T05:49:26+0300
Программист C++,80000.0,,RUR,Барнаул,2022-12-16T05:56:53+0300
Flutter developer,,,,Томск,2022-12-16T05:49:34+0300
